Draw Date,Winning Numbers,Mega Ball,Multiplier,Number1,Number2,Number3,Number4,Number5
2021-08-20,41 43 51 57 70,1,2.0,41,43,51,57,70
2021-08-17,03 06 16 38 56,24,3.0,3,6,16,38,56
2021-08-13,17 21 35 40 53,11,2.0,17,21,35,40,53
2021-08-10,29 45 50 59 62,12,2.0,29,45,50,59,62
2021-08-06,09 18 40 46 69,9,2.0,9,18,40,46,69
2021-08-03,01 09 17 27 34,24,2.0,1,9,17,27,34
2021-07-30,19 26 31 52 68,10,3.0,19,26,31,52,68
2021-07-27,02 35 36 54 64,11,3.0,2,35,36,54,64
2021-07-23,13 17 19 40 69,17,3.0,13,17,19,40,69
2021-07-20,10 26 30 52 57,10,2.0,10,26,30,52,57
2021-07-16,24 25 47 52 57,24,4.0,24,25,47,52,57
2021-07-13,03 10 17 26 55,24,2.0,3,10,17,26,55
2021-07-09,06 37 39 41 46,17,2.0,6,37,39,41,46
2021-07-06,18 47 63 68 69,14,3.0,18,47,63,68,69
2021-07-02,08 31 32 34 45,19,2.0,8,31,32,34,45
2021-06-29,07 38 50 52 69,21,3.0,7,38,50,52,69
2021-06-25,17 20 42 45 65,12,4.0,17,20,42,45,65
2021-06-22,01 26 48 51 59,25,4.0,1,26,48,51,59
2021-06-18,14 36 44 46 53,18,2.0,14,36,44,46,53
2021-06-15,18 22 27 38 52,11,4.0,18,22,27,38,52
2021-06-11,04 43 56 63 68,13,4.0,4,43,56,63,68
2021-06-08,09 22 39 41 54,19,3.0,9,22,39,41,54
2021-06-04,04 30 34 41 64,8,3.0,4,30,34,41,64
2021-06-01,07 11 33 58 63,23,2.0,7,11,33,58,63
2021-05-28,10 14 20 47 70,15,2.0,10,14,20,47,70
2021-05-25,14 21 31 34 54,11,3.0,14,21,31,34,54
2021-05-21,06 09 17 18 48,8,3.0,6,9,17,18,48
2021-05-18,03 05 56 61 66,4,2.0,3,5,56,61,66
2021-05-14,03 18 41 44 68,3,2.0,3,18,41,44,68
2021-05-11,07 08 20 36 39,22,3.0,7,8,20,36,39
2021-05-07,05 10 19 21 50,10,4.0,5,10,19,21,50
2021-05-04,04 27 32 57 63,22,3.0,4,27,32,57,63
2021-04-30,08 19 26 48 49,5,3.0,8,19,26,48,49
2021-04-27,15 22 30 41 42,25,4.0,15,22,30,41,42
2021-04-23,04 28 29 30 60,25,3.0,4,28,29,30,60
2021-04-20,06 23 43 49 52,5,3.0,6,23,43,49,52
2021-04-16,17 27 28 50 55,25,4.0,17,27,28,50,55
2021-04-13,10 15 19 45 68,9,4.0,10,15,19,45,68
2021-04-09,22 26 27 58 66,12,2.0,22,26,27,58,66
2021-04-06,01 19 20 32 42,17,3.0,1,19,20,32,42
2021-04-02,10 42 48 53 62,19,2.0,10,42,48,53,62
2021-03-30,11 37 47 53 56,15,3.0,11,37,47,53,56
2021-03-26,04 25 37 46 67,15,3.0,4,25,37,46,67
